Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt5013056,2023-08-03,2023-08-03,,Dunkirk,https://www.imdb.com/title/tt5013056/,movie,7.8,106,2017,"Action, Drama, History, Thriller, War",718267,2017-07-13,Christopher Nolan,8,2017-12-25
2,tt15398776,2022-05-22,2022-05-22,,Oppenheimer,https://www.imdb.com/title/tt15398776/,movie,8.5,180,2023,"Biography, Drama, History",513747,2023-07-11,Christopher Nolan,6,2023-11-25
3,tt0172495,2023-07-11,2023-07-11,,Gladiator,https://www.imdb.com/title/tt0172495/,movie,8.5,155,2000,"Action, Adventure, Drama",1577426,2000-05-01,Ridley Scott,10,2010-01-13
